"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","(Intercept)","0.166794111360897","0.0307684170222919","5.92824824677919e-08","0.147413837003215","0.0307684170222919","3.70870890507195e-05","0.17580863410999","0.0370727459404504","2.11346180738614e-06","-0.0255728912866991","0.045435733557968","0.573691868782212"
"2","lassets","0.00125037222625229","0.0035802866896011","0.726910626864761","0.00215202092070758","0.0035802866896011","0.582241536682742","0.00284372632320797","0.00542872759022965","0.600397304423126","0.0223975890075232","0.00348876310270936","2.24426876746454e-10"
"3","log10(kkm)","-0.00794554949421304","0.00355839926224809","0.0255555436444713","-0.00872385191855917","0.00355839926224809","0.015789577785138","-0.00568969626722036","0.00334570659801076","0.0890188191018123","0.00681552237622994","0.00466144767956729","0.144075429411324"
"4","log10(education)","0.00952581246666425","0.0180906581822708","0.598499348558797","0.0042896369766686","0.0180906581822708","0.817961567668175","-8.41339241465746e-05","0.00402641747054576","0.983329032588796","0.0403681846801676","0.0195140109954292","0.0388726913718921"
"5","d_fdev","-0.000210548574779968","0.000257683003562097","0.413880613248981","-0.000210537242665179","0.000257683003562097","0.42074808561685","-0.00935084189456635","0.003568128277161","0.00877603984743233","-0.000672270476925555","0.000418866318552093","0.108863623627127"
"6","log10(asset_structure + 1)","-0.110939686828023","0.0902860298913063","0.219162530882266","-0.128793037995089","0.0902860298913063","0.17356903998705","0.0196345070270095","0.0187608804979618","0.2952996087915","0.31079502048226","0.119984740447091","0.00975073416850192"
"7","log10(profit_margin)","-0.000603886943577125","0.00273066701494197","0.82497565858367","-0.000269427736031863","0.00273066701494197","0.922746858574217","-0.000201243786648076","0.000255562882333687","0.43101666674018","-0.0208857026123472","0.00544546277281937","0.000134433557649481"
"8","currentlegalstatusCredit Union/ Cooperative","0.00650442653621838","0.0150302835838307","0.665192953810141","0.0131050115707207","0.0150302835838307","0.483349534115324","0.0250868865405058","0.0201772275339337","0.213747454224983","0.0306975992514883","0.00835588130716245","0.00025367367531806"
"9","currentlegalstatusNBFI","-0.0522190803983317","0.0142203109982347","0.000240520725198958","-0.0367421406450018","0.0142203109982347","0.0347303355385867","-0.0418629906544386","0.0186677686580476","0.0249272790161347","-0.0396996338737638","0.00708539332910213","2.83033748987906e-08"
"10","currentlegalstatusNGO","-0.0722885514017637","0.0167595799816621","1.60859302931078e-05","-0.0563373518465896","0.0167595799816621","0.00536066887672779","-0.0534519858616496","0.0210949669025859","0.0112809321807619","-0.0320503949703399","0.00863108500852694","0.000217607897785497"
"11","ageNew","0.00327647230348385","0.00502669455445972","0.514520858560441","0.0024698690915438","0.00502669455445972","0.637776514456341","-0.185019890851173","0.097584642741187","0.0579608464284103","-0.000256530078347769","0.00818793201035442","0.975013373389353"
"12","ageYoung","-0.00566439904154272","0.00329372756253771","0.0854772838803549","-0.00584822862659493","0.00329372756253771","0.0810663934129212","0.000621028531646965","0.00285246218855618","0.827649884646327","-0.0226560515054879","0.00655734497616601","0.00057688951334017"
"13","year2001","0.019570064056341","0.0120487714049079","0.104325170891001","0.019421048894582","0.0120487714049079","0.110215347359715","0.0192244986255627","0.0118388771986064","0.104408945907332","0.00398927729943673","0.0334945266122736","0.905221879971031"
"14","year2002","0.0181194982306339","0.0105392328801815","0.0855702052974436","0.0178760184721497","0.0105392328801815","0.092920393826589","0.0174608907007203","0.0103642628729449","0.0920424242934247","-0.0157159492497459","0.0288275127024269","0.585775684748078"
