liabilities_and_equity,operating_expense_._assets,percent_of_female_borrowers,average_loan_balance_per_borrower,gross_loan_portfolio_to_total_assets,operational_self_sufficiency,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
58834886,0.0518,0.247,175,0.8068,1.816,0.4839212468008932,0.8495536923120005,0.8519337779738453,0.8519460197454398,0.850357934321432
78342244,0.0518,0.4,172,0.7996,1.512,0.4638485109366308,0.8827673731814887,0.8841595956998333,0.8841640031218793,0.8828091070219861
102717177,0.0439,0.3335,166,0.7433,1.554,0.46976740736133193,0.868518863557471,0.8716902063649211,0.8716990799468475,0.868939852629455
95952891,0.0439,0.3335,148,0.7882,1.554,0.46976740736133193,0.868518863557471,0.8719796990949099,0.8719891143219165,0.86895202285483
118531608,0.0439,0.3335,152,0.8049,1.554,0.46976740736133193,0.868518863557471,0.872054041442471,0.8720635584375703,0.8689490740833772
117862162,0.0439,0.3335,178,0.7794,1.554,0.46976740736133193,0.868518863557471,0.8718509549018273,0.8718600461212697,0.8689330839221557
1934634,0.0302,0.709,73,0.5414,0.8494,0.4225130125197114,0.9485497333714304,0.9491838585726206,0.9491838585726206,0.9485497333714304
7082217,0.051,0.6447,150,0.6751,1.0297,0.42933009579346587,0.9329000346664639,0.9329797153871757,0.9329797153871757,0.9329000346664639
16234384,0.0318,0.7502,253,0.8227,1.9731,0.5021176327453837,0.955644141073695,0.9574139903851893,0.9574208192560243,0.9556871766349602
20093101,0.0302,0.4676,167,0.6917,1.3522,0.4609942016921845,0.8994460500199506,0.9020688336480345,0.902075739376067,0.8994749377234564
20093101,0.0302,0.4676,167,0.6917,1.3522,0.4609942016921845,0.8994460500199506,0.9020688336480345,0.902075739376067,0.8994749377234564
34803186,0.0302,0.5721,257,0.8274,1.8643,0.49586349280150815,0.9207902834501033,0.9235414083880588,0.923552102752065,0.9208580197636831
31138242,0.0302,0.5721,236,0.8189,1.8643,0.49586349280150815,0.9208108412327264,0.92352270979716,0.923533409864138,0.9208793283511556
45131816,0.0302,0.5721,215,0.7448,1.8643,0.49586349280150815,0.9208353596890658,0.9231633971623616,0.9231735588451592,0.9209047422628198
49690397,0.0302,0.5721,203,0.7274,1.8643,0.49586349280150815,0.9208516146434768,0.9230909407459598,0.9231010136424685,0.920921590875546
82010406,0.0302,0.5148,254,0.6329,1.8643,0.49586349280150815,0.9091005162452938,0.9111197552879622,0.9111302516367576,0.9091789487472297
1108108,0.32,0.9361,98,0.7162,1.0639,0.4159803056952649,0.9883834370244794,0.9883834370244794,0.9883834370244796,0.9883834370244794
1255758,0.32,0.9653,99,0.6728,0.96,0.4063119955292002,0.9937150095269855,0.9937150095269855,0.9937150095269855,0.9937150095269855
1209878,0.346,0.9487,112,0.8412,0.8732,0.4003478257010832,0.990688882056509,0.990688882056509,0.990688882056509,0.990688882056509
1594678,0.3306,0.9402,141,0.8988,0.9771,0.40383444374426386,0.9891344305369046,0.9891344305369044,0.9891344305369046,0.9891344305369046
2317000,0.2649,0.9402,174,0.7609,1.0986,0.40678539825977644,0.9891344305369046,0.9891344305369046,0.9891344305369046,0.9891344305369046
2474900,0.2587,0.9402,188,0.7652,0.9911,0.3981247061954303,0.9891344305369046,0.9891344305369044,0.9891344305369044,0.9891344305369046
440650,0.17535,0.7498,114,0.5642,0.8394,0.41403086459556787,0.9534068249105491,0.9534068249105493,0.9534068249105493,0.9534068249105491
440650,0.17535,0.7498,114,0.5642,0.8394,0.41403086459556787,0.9534068249105491,0.9534068249105493,0.9534068249105493,0.9534068249105491
440650,0.17535,0.9023,159,0.481,0.5436,0.3893570548053616,0.9821623466714665,0.9821623466714665,0.9821623466714665,0.9821623466714665
386023,0.1887,0.1071,102,0.398,0.8394,0.4162626963708643,0.8177843372059718,0.8178114428196739,0.8179015457688417,0.8177843372059717
386023,0.1887,0.1071,119,0.5746,0.8394,0.4162626963708643,0.8177843372059718,0.8178807785459119,0.817967946703835,0.8177843372059717
386023,0.1887,0.1071,130,0.5496,0.8394,0.4162626963708643,0.8177843372059718,0.8178703716705781,0.817958748753846,0.8177843372059717
569388,0.162,0.7498,114,0.5642,0.9304,0.41691129663085025,0.9534068249105493,0.9534068249105491,0.9534068249105491,0.9534068249105493
589434,0.0963,0.7498,114,0.5642,0.0081,0.33498804877725175,0.9534068249105493,0.9534068249105493,0.9534068249105493,0.9534068249105493
888481,0.0963,0.7498,114,0.5642,1.1939,0.42902282402210346,0.9534068249105493,0.9534068249105493,0.9534068249105493,0.9534068249105493
2043729,0.08265,0.46,92,0.3218,0.4892,0.3752062029595141,0.8953860189309999,0.8953860189310001,0.8953860189310001,0.8953860189309999
1891599,0.0989,0.4299,84,0.4549,0.4747,0.3691882580111054,0.8890832573525156,0.8891014919750092,0.8891014919750092,0.8890832573525156
1845842,0.0931,0.38,83,0.5116,0.5722,0.3791133529563732,0.8785116232537297,0.8785804363676557,0.8785804363676557,0.8785116232537297
2175133,0.0831,0.3699,107,0.4882,0.831,0.4031204553316109,0.8763528904150463,0.8764268258275933,0.8764268258275937,0.8763528904150463
2270645,0.0822,0.2597,63,0.5529,0.748,0.3968308950198091,0.8523695974999571,0.8525217285627031,0.8525226801611865,0.8523695974999571
2865628,0.0947,0.5578,67,0.6186,0.7254,0.3911246967043115,0.9154927062415378,0.9155324823384493,0.9155324823384495,0.9154927062415378
3315456,0.0756,0.2117,70,0.6937,0.648,0.39076661437883947,0.8416685696023289,0.8419019673444317,0.8419019673444317,0.841668569602329
2123364,0.0756,0.2117,56,1.2804,0.648,0.39076661437883947,0.8416685696023289,0.8426716697466365,0.8426716697466365,0.841668569602329
1935275,0.0756,0.2117,52,1.2804,0.648,0.39076661437883947,0.8416685696023292,0.8427637715121385,0.8427637715121385,0.841668569602329
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104601,0.1554,0.3746,102,0.851,1.4262,0.48771318608165326,0.8773582529756198,0.8775152059393168,0.8776109497577776,0.8773582529756198
256739,0.1554,0.4121,156,0.6106,1.1113,0.44482257515935303,0.8853299645048279,0.88535940452665,0.8854355464755642,0.885329964504828
1727571,0.445,1,59,0.6402,0.9287,0.3990229862479272,1,1,0.9999999999999998,1
1995673,0.5023,1,57,0.6701,1.2657,0.420692803396636,1,1.0000000000000002,1,0.9999999999999998
2807907,0.6112,1,54,0.5619,0.9291,0.39174866717732354,1,1,1,1
3443918,0.5866,1,69,0.7087,0.994,0.39341195475363017,1,1,1,1
3442686,0.6685,0.9773,66,0.7031,0,0.31211373655154107,0.9958946929635542,0.9958946929635544,0.9958946929635544,0.9958946929635542
7555809,0.5189,0.9451,133,0.7635,0.8903,0.3822081163648804,0.99003093499587,0.99003093499587,0.99003093499587,0.9900309349958702
9330493,0.426,0.9044,148,0.6713,1.0227,0.391624019848308,0.9825504312217818,0.982550431221782,0.9825504312217818,0.9825504312217818
12734433,0.402,0.8194,180,0.6519,1.0656,0.39460856916358694,0.9666730095739613,0.9666730095739613,0.9666730095739613,0.9666730095739613
16281675,0.3833,0.7429,219,0.6104,1.1613,0.40115447804075605,0.9520782519533866,0.9520782519533866,0.9520782519533866,0.9520782519533866
16325972,0.4055,0.68,220,0.6087,1.0404,0.39285924624426366,0.9398528831411441,0.9398528831411441,0.9398528831411443,0.9398528831411441
17566557,0.3972,0.6603,282,0.7251,1.0378,0.39267814000704515,0.9359809486774979,0.9359809486774979,0.9359809486774979,0.9359809486774979
17019905,0.3765,0.5358,297,0.7382,1.0086,0.39063613037935363,0.9110183360116568,0.9110183360116569,0.9110183360116568,0.9110183360116568
27294474,0.3358,0.4785,351,0.7268,1.0732,0.3951340150396407,0.8992326603525366,0.8992326603525366,0.8992369364875469,0.8992326603525366
27294474,0.3358,0.4785,316,0.6736,1.0732,0.3951340150396407,0.8992326603525366,0.8992326603525366,0.8992326603525364,0.8992326603525366
35164561,0.3358,0.4785,434,0.7005,1.0981,0.39684869938025347,0.8992326603525366,0.8992326603525366,0.8992326603525364,0.8992326603525364
42430158,0.3358,0.4785,463,0.6206,1.0563,0.39396425133875984,0.8992326603525366,0.8992326603525364,0.8992326603525364,0.8992326603525364
42727709,0.3038,0.4785,463,0.6206,1.266,0.4081457342717195,0.8992326603525366,0.8992326603525364,0.8992326603525366,0.8992326603525366
42449457,0.2373,0.4785,463,0.6206,1.2773,0.40888999942471105,0.8992326603525366,0.8992326603525364,0.8992326603525366,0.8992326603525366
1274655,0.4155,0.7202,41,0.6049,0.6291,0.3803294429819257,0.9476900917489157,0.9476900917489157,0.9476900917489157,0.9476900917489157
1016166,0.8898,0.9988,43,0.7676,0.7234,0.391343244138619,0.9997835632767347,0.9997835632767347,0.9997835632767347,0.9997835632767347
2072598,0.7008,0.9754,105,0.9143,0.8195,0.3880900237546557,0.9955500149762239,0.9955500149762239,0.9955500149762239,0.9955500149762236
1799187,0.7008,0.9468,88,0.9258,0.6872,0.37993003484417626,0.9903417070035545,0.9903417070035545,0.9903417070035545,0.9903417070035545
1967409,0.8758,0.8755,81,0.8226,0.6617,0.37661924442245553,0.9771912262883921,0.9771912262883921,0.9771912262883921,0.9771912262883921
2550294,0.7457,0.8248,104,0.8661,0.7928,0.3830302607737777,0.9676921553991227,0.9676921553991227,0.9676921553991227,0.9676921553991227
3417312,0.6957,0.7909,148,0.642,0.7764,0.3776059153905462,0.961270200107759,0.961270200107759,0.961270200107759,0.961270200107759
4777038,0.5082,0.7579,164,0.5712,0.9569,0.38698389932059823,0.9549633381390134,0.9549633381390134,0.9549633381390136,0.9549633381390134
5029113,0.4155,0.7202,198,0.6735,1.2047,0.40407358770636786,0.9476900917489157,0.9476900917489157,0.9476900917489157,0.9476900917489157
5029113,0.4155,0.6275,216,0.6735,1.2047,0.40407358770636786,0.92948780714601,0.92948780714601,0.9294878071460101,0.92948780714601
5029113,0.4155,0.6172,124,0.6735,1.2047,0.40407358770636786,0.9274366844034194,0.9274366844034194,0.9274366844034194,0.9274366844034194
9903144,0.4155,0.5951,167,0.7407,1.2047,0.40407358770636786,0.9230159503528146,0.9230159503528146,0.9230159503528144,0.9230159503528146
13450995,0.1721,0.5882,182,0.6956,1.0787,0.39551366080289074,0.921630152899866,0.9216301528998663,0.921630152899866,0.921630152899866
16677095,0.295,0.6208,247,0.6609,0.9892,0.3892712119809806,0.9281542448587216,0.9281542448587216,0.9281542448587216,0.9281542448587216
20149066,0.295,0.6208,289,0.5506,0.998,0.3898911709313206,0.9281542448587216,0.9281542448587216,0.9281542448587216,0.9281542448587216
16383801,0.2958,0.6208,300,0.6831,1.0395,0.39279656881561453,0.9281542448587216,0.9281542448587213,0.9281542448587216,0.9281542448587213
400348,0.5059,1,42,0.3833,0.6428,0.39940597538389666,1,1.0000000000000002,0.9999999999999998,1
705489,0.4391,1,45,0.4727,0.8602,0.40791653403731903,1,1,1,1
1387664,0.7107,1,54,0.531,0.7875,0.39164279571218147,1,1,0.9999999999999998,1
1968015,0.6252,1,59,0.6171,0.9922,0.40168951606427705,1,1,1,1
2620567,0.5865,0.9982,64,0.674,1.0622,0.40233273711905027,0.9996753205574451,0.9996753205574451,0.9996753205574451,0.9996753205574453
5010759,0.5285,1,104,0.7436,1.0081,0.3906010350745314,1,1,1,1
8017664,0.454,1,149,0.8236,1.1095,0.39763026166455623,1,1,1,1
4917458,0.4989,0.6245,133,0.9898,0.8507,0.37932954797055235,0.9288909944916309,0.9288909944916309,0.9289105126269916,0.928890994491631
7386996,0.6533,0.72,135,0.6659,0.7886,0.37475527321613655,0.9476513106666533,0.9476513106666533,0.9476513106666534,0.9476513106666533
7150250,0.6661,0.85,144,0.7468,0.8834,0.38170866169967205,0.9724292229037695,0.9724292229037695,0.9724292229037695,0.9724292229037698
10113211,0.5181,0.85,175,0.714,1.0891,0.39623013924047695,0.9724292229037695,0.9724292229037695,0.9724292229037695,0.9724292229037693
10113211,0.5181,0.85,243,0.714,1.0891,0.39623013924047695,0.9724292229037695,0.9724292229037695,0.9724292229037695,0.9724292229037693
