skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
numeric,finefftheta_hat,976,0.7959012965286492,0.4150007936117033,0.04895256861757372,0.1978655824129424,0.3920778249612161,0.407989720929543,0.42926833142454834,1.000000000000175,▁▇▁▁▁,1,0.0010030908438262097,0.0055826329278065535,0.02537558745603764,0.017900193029042062
numeric,se_no_breadththeta_hat,976,0.7959012965286492,0.9191444019565316,0.050655456419362935,0.7924812503605781,0.8822473891668433,0.9203826548879565,0.9589974871564078,1.0000000000000036,▁▅▇▇▇,0.0010030908438262097,1,0.998788710976528,0.996503033362667,0.9982906743650083
numeric,se_with_breadththeta_hat,976,0.7959012965286492,0.9193387029501477,0.05060146085627772,0.792550620564345,0.8823644977515557,0.9206498292371711,0.9590022592989373,1.0000000000000002,▁▅▇▇▇,0.0055826329278065535,0.998788710976528,1,0.9977289605164185,0.9970854333392222
numeric,finsoc_with_breadththeta_hat,976,0.7959012965286492,0.9194653627526166,0.050550902907506745,0.7926078121529324,0.8826045705874199,0.9206772751722634,0.9591215490994613,1.000000000000002,▁▅▇▇▇,0.02537558745603764,0.996503033362667,0.9977289605164185,1,0.9987044542133878
numeric,finsoc_no_breadththeta_hat,976,0.7959012965286492,0.9192375411208462,0.05061620011112769,0.7924812503605781,0.8825976243819182,0.9205236217418756,0.9590022592989373,1.0000000000000036,▁▅▇▇▇,0.017900193029042062,0.9982906743650083,0.9970854333392222,0.9987044542133878,1
