"","V1","V2","V3","V4","V5"
"r.squared",0.0928156003632134,0.243891396702797,0.240956365973126,0.243728242292581,0.240844525118477
"adj.r.squared",0.0890100510907779,0.2407195955273,0.237772252632581,0.240555756700391,0.237659942616554
"statistic",0.15449099966844,0.0890449323466573,0.0873870995900187,0.0889591757682309,0.0871439703100727
"p.value",0.999999999970489,0.999999999999155,0.999999999999251,0.99999999999916,0.999999999999265
"deviance",4.9942879185291,5.90699427328477,5.90847707470022,5.9217112191626,5.92510889103766
"df.residual",3099,3099,3099,3099,3099
"nobs",3113,3113,3113,3113,3113
