skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist,finsoc,count,finefftheta_hat,finsoc_no_breadththeta_hat,finsoc_with_breadththeta_hat,operating_expense_._assets,debt_to_equity_ratio,donations_assets_ratio,asset_structure,kkm,education
numeric,finsoc,505,0.8943956503554998,0.32686462473696515,0.469122156193509,0,0,0,1,1,▇▁▁▁▃,1,0.1474565212679155,0.25736417844116205,0.45290073053486213,0.45162016182685427,-0.05766227380528595,-0.014211534307085577,-0.12723693028685912,-0.12102392899960279,-0.055637208255457295,0.09734094654220685
numeric,count,0,1,9.329150982852363,5.70413083900848,1,4,8,14,21,▇▅▅▃▃,0.1474565212679155,1,-0.07750386059994244,0.14147078260259965,0.13941526456719341,0.02514933502935563,0.0012759187472016439,-0.046778251913809965,-0.08669578018219312,-0.021659022536183747,-0.0033101948122324096
numeric,finefftheta_hat,976,0.7959012965286492,0.4150007936117033,0.04895256861757372,0.1978655824129424,0.3920778249612161,0.407989720929543,0.42926833142454834,1.000000000000175,▁▇▁▁▁,0.25736417844116205,-0.07750386059994244,1,-0.023489187881766082,-0.015920260372885006,-0.300405159931185,-0.012225488767887057,-0.0933844468748822,-0.1094093607310317,0.08371370988391474,0.0274517915819257
numeric,finsoc_no_breadththeta_hat,976,0.7959012965286492,0.9192375411208462,0.05061620011112769,0.7924812503605781,0.8825976243819182,0.9205236217418756,0.9590022592989373,1.0000000000000036,▁▅▇▇▇,0.45290073053486213,0.14147078260259965,-0.023489187881766082,1,0.9984439675655851,0.31284149410518103,0.012077145060969003,0.19582730695519082,0.0026736696247883188,-0.1513493455143613,0.12046209428153572
numeric,finsoc_with_breadththeta_hat,976,0.7959012965286492,0.9194653627526166,0.050550902907506745,0.7926078121529324,0.8826045705874199,0.9206772751722634,0.9591215490994613,1.000000000000002,▁▅▇▇▇,0.45162016182685427,0.13941526456719341,-0.015920260372885006,0.9984439675655851,1,0.30980491033728946,0.012118570380115209,0.19484355405542156,4.454279592891854e-4,-0.14763621082071665,0.11999401178104144
numeric,operating_expense_._assets,555,0.883939774153074,0.23303890466051574,0.1952559548110354,0,0.117,0.177,0.28654999999999997,2.5171,▇▁▁▁▁,-0.05766227380528595,0.02514933502935563,-0.300405159931185,0.31284149410518103,0.30980491033728946,1,0.02514692667477706,0.3819550680654455,0.1295999194459196,-0.09221800051650039,-0.08202067725544424
numeric,debt_to_equity_ratio,239,0.9500209117524049,3.2209140876073077,60.130287796981776,-3567.28,0.84,2.39,5.01,585.24,▁▁▁▁▇,-0.014211534307085577,0.0012759187472016439,-0.012225488767887057,0.012077145060969003,0.012118570380115209,0.02514692667477706,1,-0.007735865715306984,-0.020927067470398963,-0.03865427790773211,0.03729995279198666
numeric,donations_assets_ratio,469,0.9019238812212463,0.04799931638806297,0.15435840133799453,-0.00331114517375506,0,0.00116324729666395,0.0245083373374014,2.59807702903741,▇▁▁▁▁,-0.12723693028685912,-0.046778251913809965,-0.0933844468748822,0.19582730695519082,0.19484355405542156,0.3819550680654455,-0.007735865715306984,1,0.1010522904549347,-0.033404550559711844,-0.07548166437899709
numeric,asset_structure,621,0.8701380175658721,0.07821541589311037,0.07404698501610076,0,0.0315862202876976,0.0596602116234588,0.100260549535025,0.859768271248912,▇▁▁▁▁,-0.12102392899960279,-0.08669578018219312,-0.1094093607310317,0.0026736696247883188,4.454279592891854e-4,0.1295999194459196,-0.020927067470398963,0.1010522904549347,1,-0.08086442295781238,-0.08836550172489331
numeric,kkm,291,0.939146800501882,0.005494349108700756,2.0647316362991077,-5.23319525851152,-1.3999520071022,-0.208227080452312,1.72496147349692,7.3690088532789,▂▇▇▃▁,-0.055637208255457295,-0.021659022536183747,0.08371370988391474,-0.1513493455143613,-0.14763621082071665,-0.09221800051650039,-0.03865427790773211,-0.033404550559711844,-0.08086442295781238,1,-0.24626126857859587
numeric,education,470,0.9017147636971978,0.38583183399180093,0.14676153760546123,0.074823428790582,0.27086093936253,0.383201293196199,0.486611428149229,1.04964862456497,▅▇▅▁▁,0.09734094654220685,-0.0033101948122324096,0.0274517915819257,0.12046209428153572,0.11999401178104144,-0.08202067725544424,0.03729995279198666,-0.07548166437899709,-0.08836550172489331,-0.24626126857859587,1
