,X1,X2,X3,X4
1,lassets,0.034988749,0.027557556,0.204644323
2,log10(kkm),0.005404979,0.024247167,0.8236718
3,log10(education),0.114813388,0.13066077,0.379870225
4,d_fdev,0.001231265,0.001746454,0.481048949
5,log10(asset_structure + 1),-1.531605919,0.638565729,0.016733158
6,log10(profit_margin),-0.057917318,0.017920495,0.001289645
7,ageNew,-0.130133541,0.033934245,0.000137427
8,ageYoung,-0.043877079,0.021642669,0.043021123
